entitled          [in'taitld]           v. 给……权力,给与标题,使有资格,给与标题,给与名称
entrap            [in'træp]             vt. 骗入,诱捕,使陷入
enumerate         [i'nju:məreit]        vt. 列举,计算,枚举,数
enunciate         [i'nʌnsieit]          vt. 明确地叙述,表明 vi. 发音
enzyme            ['enzaim]             n. 酶，酵素
ephemeral         [i'femərəl]           a. 短暂的，转瞬即逝的
epitomize         [i'pitəmaiz]          v. 成为…的缩影
equilibrium       [i:kwi'libriəm]       n. 平衡,平静,均衡
equivocal         [i'kwivəkl]           a. 意义不明确的,模棱两可的
equivocate        [i'kwivəkeit]         vi. 说模棱两可的话,支吾
erratic           [i'rætik]             n. 古怪的人,漂泊无定的人 a. 不稳定的,奇怪的
eschew            [is'tʃu]              vt. 避开,远避
estimable         ['estəməbl]           a. 可尊敬的,可估计的
euphonious        [ju:'founiəs]         a. 音响好的,悦耳的,和谐的
exacting          [ig'zæktiŋ]           a. 苛求的,吃力的
exalt             [ig'zɔ:lt]            vt. 提升,提高,赞扬,使得意 vi. 使人兴奋
exalted           [ig'zɔ:ltid]          a. 尊贵的,高位的,高尚的,兴奋的
exasperate        [ig'za:spəreit]       vt. 使恼怒,激怒,恶化 a. 恼怒的,激怒的,恶化的
excavate          ['ekskəveit]          vt. vi. 挖,挖开,凿通
